Tamanho,Threads,Schedule,Tempo(s),Speedup,Eficiencia
50000,2,dynamic,31.400551,0.0592,0.0296
50000,2,guided,0.774659,2.3977,1.1989
50000,2,static,0.603774,3.0462,1.5231
50000,2,dynamic,31.220027,0.0589,0.0295
50000,2,guided,0.761791,2.4143,1.2072
50000,2,static,0.588462,3.1918,1.5959
50000,2,dynamic,31.300650,0.0600,0.0300
50000,2,guided,0.775255,2.4228,1.2114
50000,4,static,0.296401,6.2858,1.5714
50000,4,dynamic,27.884324,0.0668,0.0167
50000,4,guided,0.503184,3.7026,0.9257
50000,4,static,0.313362,5.9654,1.4914
50000,4,dynamic,27.866750,0.0671,0.0168
50000,4,guided,0.497860,3.7547,0.9387
50000,4,static,0.310160,5.9970,1.4992
50000,4,dynamic,27.880309,0.0667,0.0167
50000,4,guided,0.503480,3.6943,0.9236
50000,8,static,0.283435,6.6773,0.8347
50000,8,dynamic,24.316020,0.0778,0.0097
50000,8,guided,0.450587,4.2002,0.5250
50000,8,static,0.282337,6.6459,0.8307
50000,8,dynamic,24.591830,0.0763,0.0095
50000,8,guided,0.467531,4.0134,0.5017
50000,8,static,0.288476,6.5574,0.8197
50000,8,dynamic,24.349665,0.0777,0.0097
50000,8,guided,0.435750,4.3412,0.5426
100000,1,static,8.730428,1.0123,1.0123
100000,1,dynamic,31.193619,0.2833,0.2833
100000,1,guided,8.784768,1.0061,1.0061
100000,1,static,8.621056,1.0133,1.0133
100000,1,dynamic,30.977183,0.2820,0.2820
100000,1,guided,8.701149,1.0040,1.0040
100000,1,static,8.731213,1.0108,1.0108
100000,1,dynamic,30.929230,0.2853,0.2853
100000,1,guided,8.746257,1.0090,1.0090
100000,2,static,3.401652,2.5880,1.2940
100000,2,dynamic,124.525939,0.0707,0.0353
100000,2,guided,3.872729,2.2732,1.1366
100000,2,static,3.354417,2.6125,1.3063
100000,2,dynamic,124.564342,0.0704,0.0352
100000,2,guided,4.032785,2.1731,1.0865
100000,2,static,3.378373,2.5920,1.2960
100000,2,dynamic,124.662712,0.0702,0.0351
100000,2,guided,4.024916,2.1756,1.0878
100000,4,static,1.396886,6.3147,1.5787
100000,4,dynamic,110.826053,0.0796,0.0199
100000,4,guided,2.556742,3.4501,0.8625
100000,4,static,1.317003,6.6384,1.6596
100000,4,dynamic,110.825695,0.0789,0.0197
100000,4,guided,2.566180,3.4069,0.8517
100000,4,static,1.323208,6.6151,1.6538
100000,4,dynamic,110.855580,0.0790,0.0197
100000,4,guided,2.577211,3.3964,0.8491
100000,8,static,1.112693,7.8478,0.9810
100000,8,dynamic,96.618459,0.0904,0.0113
100000,8,guided,1.641796,5.3187,0.6648
100000,8,static,1.136838,7.6575,0.9572
100000,8,dynamic,96.817723,0.0899,0.0112
100000,8,guided,1.627253,5.3497,0.6687
100000,8,static,1.137664,7.7114,0.9639
100000,8,dynamic,96.656845,0.0908,0.0113
100000,8,guided,1.641359,5.3449,0.6681
